Code;Name;Narrative_Structure
SN1;Mini-shift;Situation -> Detail -> Change
SN2;Recognized Error;Error -> Confrontation -> Change
SN3;Broken Routine;Habit -> Break -> Reinvention
SN4;Clarified Uncertainty;Uncertainty -> Trial -> Clarification
SN5;Tested Certainty;Certainty -> Confrontation -> Adjustment
SN6;Excess Managed;Excess -> Discomfort -> Adjustment
SN7;Guided Curiosity;Observation -> Discovery -> Appropriation
SN8;Indirect Transmission;Model -> Observation -> Imitation -> Mastery
SN9;Smooth Transition;Dual situation -> Transition -> Stabilization
SN10;Silent Reflection;Observation -> Identification -> Adjustment
SN11;Error then Correction;Error -> Brief reflection -> Correction -> Improvement
SN12;Learning by Observation;Observe a model -> Careful appropriation -> Simple application -> Gentle feedback
SN13;Learning by Automation;Short repetitions -> Flow -> Light mastery
SN14;Adjusted Perception;Attention -> Precise observation -> Minimal adjustment -> Clarity
SN15;Trial–Error that Pays Off;Short trial -> Minimal fix -> Noticeable improvement -> Maintenance
SN16;Focus–Reactivity;Minor distraction -> Brief refocus -> Adequate response -> Return to calm
SN17;Risk Assessment;Light uncertainty -> Quick analysis -> Careful decision -> Relief
SN18;Feedback Handling;Gentle feedback -> Brief reflection -> Targeted improvement -> Stabilization
SN19;Progressive Autonomy;Initial help -> Guided attempts -> Calm independence -> Consolidation
SN20;Repetition -> Mastery;Short readjustments -> Improvement -> Stable mastery
SN21;Error Anticipation;Spot a light risk -> If…then planning -> Avoid/Bypass -> Relief
SN22;Acceptance of Limits;Moderate overestimation -> Quiet realization -> Readjustment -> Relief
SN23;Context Adaptation;Changing context -> Simple adjustment -> Quick check -> Stabilization
SN24;Personal Strategy;Situation -> Simple plan (≤2 rules) -> Brief application -> Improvement
SN25;Breaking an Automatism;Light bad habit -> Awareness -> Targeted change -> Stabilization
SN26;Theory into Practice;Clear principle -> Short example -> Concrete gesture -> Consolidation
SN27;Explicit Lesson;Brief lecture -> Focused attention -> Appropriation
SN28;Guided Correction;Light error -> Supportive help -> Adjustment
SN29;Demonstration;Presentation -> Observation -> Appropriation
SN30;Direct Q&A;Question -> Answer -> Reformulation
SN31;Shared Observation;Observation -> Discussion -> Appropriation
SN32;Peer Support;Request/Support -> Interaction/Information -> Joint understanding
SN33;Initiatory Quest;Departure -> Trials -> Revelation -> Transformed return
SN34;Unexpected Collaboration;Initial distrust -> Shared circumstances -> Cooperation -> Resolution (or Not)
SN35;Confrontation with the Unknown;Routine -> Strange event -> Investigation -> Explanation/Resolved mystery (or Not)
SN36;Lifestyle Change;Risky behavior -> Information -> Motivation -> Change/Resistance
SN37;Skill Acquisition;Incompetence -> Initiation -> Training -> Mastery
SN38;Problem Solving;Obstacle -> Analysis -> Search for solutions -> Resolution (or Not)
SN39;Group Collaboration;Common task -> Role distribution -> Interaction -> Collective production
SN40;Motivation and Perseverance;Initial interest -> Difficulties -> Discouragement -> Sustained effort -> Resolution
SN41;Intergenerational Transmission;Ancient knowledge -> Young learner -> Transmission -> Continuity/Transformation
SN42;Confronting One’s Fears;Avoidance -> Gradual confrontation -> Overcoming -> Personal growth
SN43;Loss of Control;Routine -> Disruptive event -> Disorientation -> Return to normality/Chaos
SN44;Adaptation to a New Environment;Departure -> Arrival -> Discovery -> Integration/Rejection
SN45;Breakup and Reconstruction;Established relationship -> Crisis -> Separation -> Self‑reconstruction
SN46;Awareness;Ignorance -> Observation -> Concern -> Action/Inaction
SN47;Inner Exploration;Existential questioning -> Introspection -> Self‑discovery -> Transformation
SN48;Risk Awareness;Ignorance -> Mild symptom -> Alert -> Preventive/Curative action
SN49;Adopting a New Habit;Reluctance -> Trial -> Observation/Repetition -> Integration into routine
SN50;Crisis Management;Trigger -> Crisis/Acute symptoms -> Seeking help -> Stabilization
SN51;Reliable Information Seeking;Trigger -> Multiple sources -> Sorting and analysis -> Informed decision
SN52;Problem Prevention;Risk factors -> Information -> Behavior change -> Risk reduction
SN53;Supporting a Loved One;Worry -> Support -> Encouragement -> Improvement/Stagnation
SN54;Cognitive Advice Arc (low ΔD);Light risk perception -> Brief explicit advice -> Simple adjustment -> Stabilization
SN55;Explanatory Fable Structure;Concrete example -> Reflection -> Guideline -> Application
SN56;Mistake -> Insight -> Correction -> Balance;Minor mistake -> Realization -> Correction -> Settled routine
SN57;Advice via Micro‑Experience;Small doubt or discomfort -> Guided trial (micro‑action) -> Noticed benefit -> Quiet integration
SN58;Reflection -> Reframing -> Integration;Stuck thought -> Recontextualization -> Acceptance/Integration -> Stabilized adjustment
SN59;Support and Recovery;Mild distress -> Concrete help -> Initiative resumes -> Confidence regained
SN60;Learning through Observation;Observe others -> Identify -> Personal application -> Consolidation
SN61;If‑Then Intent Setting;Cue -> If‑then plan -> Application -> Stabilization
