questionnaire_item_id,question_content
1,Claiming government benefits to which you are not entitled
2,Avoiding a fare on public transport
3,Stealing property
4,Cheating on taxes if you have a chance
5,Someone accepting a bribe in the course of their duties
6,Homosexuality
7,Prostitution
8,Abortion
9,Divorce
10,Sex before marriage
11,Suicide
12,Euthanasia
13,For a man to beat his wife
14,Parents beating children
15,Violence against other people
16,"Terrorism as a political, ideological or religious mean"
17,Having casual sex
18,Political violence
19,Death penalty
