ID,RA_ICRS,DE_ICRS,Name,GaiaDR2,Distcat,VBURMG,SpTop,SpTnir,SpTph,plxlit,RP-W3,G-RP,Jmag,Hmag,Kmag,W1mag,W2mag,W3mag,gmagPS,rmagPS,imagPS,zmagPS,ymagPS,Gmag,FG,BPmag,FBP,RPmag,FRP,GaiaGest,plx,pmRA,pmDE,SimbadName,_RA.icrs,_DE.icrs
J0006-1720 ,1.585252334,-17.3474128,2MASSI J0006205-172051   ,2.41461E+18,0.03,-    ,L2.5    ,L3        ,-     ,       ,#VALUE!,#VALUE!,15.662,14.646,14.01,13.472,13.179,12.334,24.159,21.796,20.259,18.832,17.803,20.731,96.1,      ,      ,      ,       ,20.617,25.18,-32.72,10.38,Gaia DR2 2414607592787544320,1.585399925,-17.34745749
J0028+2248 ,7.090163406,22.8159079,2MASSJ00282091+2249050   ,2.80008E+18,0.37,-    ,-       ,L7:       ,      ,       ,#VALUE!,1.701,15.607,14.468,13.781,      ,      ,      ,      ,      ,      ,      ,      ,20.889,83.1,20.953,57.5,19.188,169.6,20.91,41.35,564.53,-435.72,Gaia DR2 2800081221135505536,7.087526428,22.8177839
J0054-0031 ,13.52824702,-0.51796996,SDSSp J005406.55-003101.8,2.53604E+18,0.33,-    ,L1      ,L2        ,L1.5  ,       ,#VALUE!,1.621,15.731,14.891,14.38,13.997,13.757,      ,      ,22.239,20.074,18.678,17.658,20.597,108.8,21.823,25.8,18.976,206.2,20.745,19.26,193.05,-161.79,Gaia DR2 2536044636280401024,13.52741579,-0.517273364
J0128-5545 ,22.10921882,-55.75904547,2MASS 01282664-5545343   ,4.91085E+18,0.17,-    ,L2      ,L1        ,-     ,       ,#VALUE!,#VALUE!,13.775,12.916,12.336,11.963,11.705,11.222,      ,      ,      ,      ,      ,18.596,687.2,      ,      ,      ,       ,18.588,54.02,-234.96,108.24,Gaia DR2 4910850865919078016,22.11101674,-55.75951149
J0131+3801 ,22.82881606,38.03190724,2MASS 01311838+3801554   ,3.22493E+17,0.12,-    ,L4:     ,-         ,-     ,       ,#VALUE!,#VALUE!,14.679,13.696,13.054,12.453,12.202,11.797,      ,21.301,19.194,      ,      ,19.69,250.9,      ,      ,      ,       ,19.73,40.2,379.25,-33.8,Gaia DR2  322492502798326144,22.826743,38.03205275
J0224+0654 ,36.19583257,6.904306525,ULAS J022446.99+065415.6 ,2.5205E+18,0.03,-    ,-       ,-         ,L1    ,       ,#VALUE!,#VALUE!,15.35,14.491,13.882,13.627,13.3,12.397,22.732,20.54,19.562,18.07,17.136,20.023,184.6,      ,      ,      ,       ,19.987,12.69,7.3,-27.03,ULAS J022446.99+065415.6    ,36.19580091,6.904422904
J0235-0849 ,38.94808002,-8.822139158,2MASS 02354756-0849198   ,5.17699E+18,0.01,-    ,L2      ,L2:       ,-     ,       ,#VALUE!,#VALUE!,15.571,14.812,14.191,13.779,13.499,      ,      ,21.887,19.895,18.42,17.442,20.348,136.8,      ,      ,      ,       ,20.494,19.75,-27.78,4.18,Gaia DR2 5176990610359832576,38.94820106,-8.822157155
J0235-2331 ,39.00019195,-23.52224277,GJ 1048 B                ,5.12542E+18,0.08,VB   ,L1      ,L1        ,-     ,47.01,#VALUE!,1.706,13.67,12.725,12.186,      ,      ,      ,      ,      ,17.404,16.164,15.39,18.598,686,19.777,169.7,16.892,1405.9,18.253,46.58,94.68,20.96,Gaia DR2 5125415028162047488,38.99974735,-23.52233302
J0241-1241 ,40.47521674,-12.68551353,2MASSI J0241536-124106   ,5.17077E+18,0.31,-    ,L2:     ,L2        ,-     ,       ,#VALUE!,#VALUE!,15.605,14.646,13.931,13.629,13.313,12.875,      ,      ,20.032,18.619,17.614,20.557,112.8,      ,      ,      ,       ,20.478,25.17,317.18,-48.31,Gaia DR2 5170773357435861760,40.47381693,-12.68530553
J0327+0508 ,51.88187672,5.145902344,ULAS J032731.60+050844.7 ,3.27569E+18,0.05,-    ,-       ,-         ,L2.5: ,       ,#VALUE!,1.966,15.274,14.513,13.907,      ,      ,      ,      ,      ,19.354,18.299,17.331,20.311,141.6,19.781,169.1,18.345,368.8,20.276,26.37,116.38,76.3,ULAS J032731.60+050844.7    ,51.88137361,5.14557383
J0336+0407 ,54.04994781,4.127600034,ULAS J033611.97+040739.3 ,3.27459E+18,0.01,-    ,-       ,-         ,L0    ,       ,#VALUE!,#VALUE!,16.194,15.312,15.05,14.584,14.283,12.056,      ,      ,20.334,18.869,17.917,20.912,81.4,      ,      ,      ,       ,20.771,13.3,28.08,1.21,ULAS J033611.97+040739.3    ,54.0498266,4.127594824
J0340-6724 ,55.03525542,-67.39908185,2MASS 03400942-6724051   ,4.66784E+18,0.28,-    ,L7::    ,-         ,-     ,       ,#VALUE!,#VALUE!,14.742,13.59,12.925,12.06,11.509,10.439,      ,      ,      ,      ,      ,20.062,178,      ,      ,      ,       ,19.821,107.12,-331.85,497.43,Gaia DR2 4667836363565989120,55.03897358,-67.40122352
J0357-0641 ,59.33855719,-6.690499989,2MASS 03572110-0641260   ,3.24488E+18,0.16,-    ,L0      ,-         ,-     ,       ,#VALUE!,1.607,15.953,15.06,14.599,14.433,14.127,      ,25.87,22.96,20.18,18.702,17.756,20.704,98.6,21.059,52.1,19.097,184.5,20.923,14.78,151.67,12.35,Gaia DR2 3244884973660990336,59.33789969,-6.690553162
