% Titel:  Up2U10.dat 
% Doel:	  Transformatie van potentiële wind naar de windsnelheid op 10 m hoogte.
% Bron:   De Waal, J.P. (2003) Windmodellering voor bepaling waterstanden en golven.
%         Een analyse van de bouwstenen. RIZA werkdocument 2003.118x.
% Datum:  30 september 2003
% Auteur: E.J. Claessens
%        Up        U10 
%     (m/s)      (m/s) 
       0.00       0.00
       1.00       1.12
       2.00       2.25
       3.00       3.37
       4.00       4.49
       5.00       5.61
       6.00       6.74
       7.00       7.86
       8.00       8.97
       9.00      10.06
      10.00      11.14
      11.00      12.21
      12.00      13.28
      13.00      14.34
      14.00      15.39
      15.00      16.44
      16.00      17.49
      17.00      18.53
      18.00      19.56
      19.00      20.59
      20.00      21.62
      21.00      22.64
      22.00      23.66
      23.00      24.68
      24.00      25.69
      25.00      26.69
      26.00      27.69
      27.00      28.69
      28.00      29.69
      29.00      30.68
      30.00      31.67
      31.00      32.65
      32.00      33.64
      33.00      34.62
      34.00      35.59
      35.00      36.56
      36.00      37.53
      37.00      38.50
      38.00      39.47
      39.00      40.43
      40.00      41.39
      41.00      42.34
      42.00      43.30
      43.00      44.25
      44.00      45.20
      45.00      46.14
      46.00      47.08
      47.00      48.03
      48.00      48.96
      49.00      49.90
      50.00      50.83
