database	species	scheme_description	scheme	URI
pubmlst	Achromobacter spp.	MLST	achromobacter	https://rest.pubmlst.org/db/pubmlst_achromobacter_seqdef/schemes/1
pubmlst	Acinetobacter baumannii	MLST (Oxford)	abaumannii	https://rest.pubmlst.org/db/pubmlst_abaumannii_seqdef/schemes/1
pubmlst	Acinetobacter baumannii	MLST (Pasteur)	abaumannii_2	https://rest.pubmlst.org/db/pubmlst_abaumannii_seqdef/schemes/2
pubmlst	Aeromonas spp.	MLST	aeromonas	https://rest.pubmlst.org/db/pubmlst_aeromonas_seqdef/schemes/1
pubmlst	Aggregatibacter actinomycetemcomitans	MLST	aactinomycetemcomitans	https://rest.pubmlst.org/db/pubmlst_aactinomycetemcomitans_seqdef/schemes/1
pubmlst	Anaplasma phagocytophilum	MLST	aphagocytophilum	https://rest.pubmlst.org/db/pubmlst_aphagocytophilum_seqdef/schemes/1
pubmlst	Arcobacter spp.	MLST	arcobacter	https://rest.pubmlst.org/db/pubmlst_arcobacter_seqdef/schemes/1
pubmlst	Avibacterium paragallinarum	MLST	aparagallinarum	https://rest.pubmlst.org/db/pubmlst_aparagallinarum_seqdef/schemes/1
pubmlst	Bacillus cereus	MLST	bcereus	https://rest.pubmlst.org/db/pubmlst_bcereus_seqdef/schemes/1
pubmlst	Bacillus licheniformis	MLST	blicheniformis_14	https://rest.pubmlst.org/db/pubmlst_blicheniformis_seqdef/schemes/14
pubmlst	Bacillus subtilis	MLST	bsubtilis	https://rest.pubmlst.org/db/pubmlst_bsubtilis_seqdef/schemes/1
pubmlst	Lactococcus lactis 936-like bacteriophage	MLST	llactis_phage	https://rest.pubmlst.org/db/pubmlst_llactis_phage_seqdef/schemes/1
pubmlst	Bacteroides fragilis	MLST	bfragilis	https://rest.pubmlst.org/db/pubmlst_bfragilis_seqdef/schemes/1
pubmlst	Bartonella bacilliformis	MLST	bbacilliformis	https://rest.pubmlst.org/db/pubmlst_bbacilliformis_seqdef/schemes/1
pubmlst	Bartonella henselae	MLST	bhenselae	https://rest.pubmlst.org/db/pubmlst_bhenselae_seqdef/schemes/1
pubmlst	Bartonella washoensis	MLST	bwashoensis	https://rest.pubmlst.org/db/pubmlst_bwashoensis_seqdef/schemes/1
pubmlst	Borrelia spp.	MLST	borrelia	https://rest.pubmlst.org/db/pubmlst_borrelia_seqdef/schemes/1
pubmlst	Brachyspira spp.	B. hampsonii MLST	brachyspira_5	https://rest.pubmlst.org/db/pubmlst_brachyspira_seqdef/schemes/5
pubmlst	Brachyspira spp.	B. hyodysenteriae MLST	brachyspira_2	https://rest.pubmlst.org/db/pubmlst_brachyspira_seqdef/schemes/2
pubmlst	Brachyspira spp.	B. intermedia MLST	brachyspira_3	https://rest.pubmlst.org/db/pubmlst_brachyspira_seqdef/schemes/3
pubmlst	Brachyspira spp.	B. pilosicoli MLST	brachyspira_4	https://rest.pubmlst.org/db/pubmlst_brachyspira_seqdef/schemes/4
pubmlst	Brachyspira spp.	Brachyspira MLST	brachyspira	https://rest.pubmlst.org/db/pubmlst_brachyspira_seqdef/schemes/1
pubmlst	Brucella spp.	MLST (9 locus)	brucella	https://rest.pubmlst.org/db/pubmlst_brucella_seqdef/schemes/1
pubmlst	Burkholderia cepacia complex	MLST	bcc	https://rest.pubmlst.org/db/pubmlst_bcc_seqdef/schemes/1
pubmlst	Burkholderia pseudomallei	MLST	bpseudomallei	https://rest.pubmlst.org/db/pubmlst_bpseudomallei_seqdef/schemes/1
pubmlst	Campylobacter non-jejuni/coli	C. concisus/curvus MLST	campylobacter_nonjejuni_5	https://rest.pubmlst.org/db/pubmlst_campylobacter_nonjejuni_seqdef/schemes/5
pubmlst	Campylobacter non-jejuni/coli	C. fetus MLST	campylobacter_nonjejuni_9	https://rest.pubmlst.org/db/pubmlst_campylobacter_nonjejuni_seqdef/schemes/9
pubmlst	Campylobacter non-jejuni/coli	C. helveticus MLST	campylobacter_nonjejuni	https://rest.pubmlst.org/db/pubmlst_campylobacter_nonjejuni_seqdef/schemes/1
pubmlst	Campylobacter non-jejuni/coli	C. hyointestinalis MLST	campylobacter_nonjejuni_6	https://rest.pubmlst.org/db/pubmlst_campylobacter_nonjejuni_seqdef/schemes/6
pubmlst	Campylobacter non-jejuni/coli	C. insulaenigrae MLST	campylobacter_nonjejuni_2	https://rest.pubmlst.org/db/pubmlst_campylobacter_nonjejuni_seqdef/schemes/2
pubmlst	Campylobacter non-jejuni/coli	C. lanienae MLST	campylobacter_nonjejuni_7	https://rest.pubmlst.org/db/pubmlst_campylobacter_nonjejuni_seqdef/schemes/7
pubmlst	Campylobacter non-jejuni/coli	C. lari MLST	campylobacter_nonjejuni_3	https://rest.pubmlst.org/db/pubmlst_campylobacter_nonjejuni_seqdef/schemes/3
pubmlst	Campylobacter non-jejuni/coli	C. sputorum MLST	campylobacter_nonjejuni_8	https://rest.pubmlst.org/db/pubmlst_campylobacter_nonjejuni_seqdef/schemes/8
pubmlst	Campylobacter non-jejuni/coli	C. upsaliensis MLST	campylobacter_nonjejuni_4	https://rest.pubmlst.org/db/pubmlst_campylobacter_nonjejuni_seqdef/schemes/4
pubmlst	Campylobacter jejuni/coli	MLST	campylobacter	https://rest.pubmlst.org/db/pubmlst_campylobacter_seqdef/schemes/1
