Gene Name,Chromosome,Start,End
gene:Rv0001,Chromosome,1,1524
gene:Rv0002,Chromosome,2052,3260
gene:Rv0003,Chromosome,3280,4437
gene:Rv0004,Chromosome,4434,4997
gene:Rv0005,Chromosome,5240,7267
gene:Rv0006,Chromosome,7302,9818
gene:Rv0007,Chromosome,9914,10828
gene:Rv0008c,Chromosome,11874,12311
gene:Rv0009,Chromosome,12468,13016
gene:Rv0010c,Chromosome,13133,13558
gene:Rv0011c,Chromosome,13714,13995
gene:Rv0012,Chromosome,14089,14877
gene:Rv0013,Chromosome,14914,15612
gene:Rv0014c,Chromosome,15590,17470
gene:Rv0015c,Chromosome,17467,18762
gene:Rv0016c,Chromosome,18759,20234
gene:Rv0017c,Chromosome,20231,21640
gene:Rv0018c,Chromosome,21637,23181
gene:Rv0019c,Chromosome,23270,23737
gene:Rv0020c,Chromosome,23861,25444
gene:Rv0021c,Chromosome,25913,26881
gene:Rv0022c,Chromosome,27023,27442
gene:Rv0023,Chromosome,27595,28365
gene:Rv0024,Chromosome,28362,29207
gene:Rv0025,Chromosome,29245,29607
gene:Rv0026,Chromosome,29722,31068
gene:Rv0027,Chromosome,31189,31506
gene:Rv0028,Chromosome,31514,31819
gene:Rv0029,Chromosome,32057,33154
gene:Rv0030,Chromosome,33224,33553
gene:Rv0031,Chromosome,33582,33794
gene:Rv0032,Chromosome,34295,36610
gene:Rv0033,Chromosome,36607,36870
gene:Rv0034,Chromosome,36867,37262
gene:Rv0035,Chromosome,37259,38947
gene:Rv0036c,Chromosome,39056,39829
gene:Rv0037c,Chromosome,39877,41202
gene:Rv0038,Chromosome,41304,41912
gene:Rv0039c,Chromosome,42004,42351
gene:Rv0040c,Chromosome,42433,43365
gene:Rv0041,Chromosome,43562,46471
gene:Rv0042c,Chromosome,46581,47207
gene:Rv0043c,Chromosome,47366,48100
gene:Rv0044c,Chromosome,48233,49027
gene:Rv0045c,Chromosome,49043,49939
gene:Rv0046c,Chromosome,50021,51124
gene:Rv0047c,Chromosome,51185,51727
gene:Rv0048c,Chromosome,51828,52697
gene:Rv0049,Chromosome,52831,53244
gene:Rv0050,Chromosome,53663,55699
gene:Rv0051,Chromosome,55696,57378
gene:Rv0052,Chromosome,57410,57973
gene:Rv0053,Chromosome,58192,58482
gene:Rv0054,Chromosome,58586,59080
gene:Rv0055,Chromosome,59122,59376
gene:Rv0056,Chromosome,59409,59867
gene:Rv0057,Chromosome,59896,60417
gene:Rv0058,Chromosome,60396,63020
gene:Rv0059,Chromosome,63200,63892
