name,Country,Sport,Height
Derek Anderson,USA,Basketball,2.02
Wayne Anderson,South Korea,Basketball,2.04
Ashley Richardson,USA,Badminton,1.84
Dr. James Winters,USA,Archery,1.82
Kathy Fowler,Denmark,Basketball,2.19
Daniel Galvan,South Korea,Archery,1.75
Alexis Butler,USA,Badminton,1.93
Christina Edwards,USA,Archery,1.8
Steven Williams,South Korea,Badminton,1.78
Barbara Gallagher,USA,Basketball,2.11
Eric Edwards,South Korea,Badminton,1.91
Patrick Black,South Korea,Badminton,1.81
Ryan Benton,Denmark,Basketball,1.96
Barry Parrish,NZ,Archery,1.66
James Holland,USA,Archery,1.66
Kimberly Cruz,USA,Basketball,2.05
Brian Richardson,South Korea,Archery,1.61
Rachel Marquez,Denmark,Badminton,1.89
Annette Taylor,USA,Archery,1.81
Keith Jensen,Denmark,Badminton,2.04
David Anderson,South Korea,Archery,1.69
Amanda Walker,USA,Archery,1.69
Nicholas Martin,USA,Archery,1.58
Donald Johnson,NZ,Archery,1.74
Sandra Mitchell,South Korea,Basketball,2.02
Andrew Wallace,NZ,Basketball,2.08
Jared Gonzales,USA,Basketball,2.16
Tiffany Bailey,South Korea,Basketball,2.16
April Levy,USA,Archery,1.72
Justin Andrade,South Korea,Badminton,1.73
Ann Mora,South Korea,Badminton,1.93
Kevin Mcintosh,Denmark,Archery,1.82
Leslie Coleman,USA,Badminton,2.01
Mr. Joseph Vazquez MD,South Korea,Badminton,1.95
Nancy King,USA,Basketball,1.96
Tonya Clayton,USA,Badminton,1.96
Joy Mills,USA,Basketball,1.71
Vanessa Taylor,USA,Badminton,2.07
Carol Reeves,South Korea,Basketball,2.17
Victoria Sanders,USA,Basketball,1.98
Richard Tran,USA,Badminton,1.78
Michelle Lee,USA,Basketball,1.99
Brett Macdonald,USA,Basketball,2.05
Glenn Lopez,USA,Basketball,1.96
James Collins,USA,Badminton,2.06
Sarah Sanders MD,USA,Badminton,1.86
Desiree Rios,USA,Badminton,1.88
Kelly Griffith,USA,Badminton,1.93
Donna Meyer,Denmark,Basketball,1.95
Sydney Andrews,NZ,Basketball,1.88
Courtney Walsh,Denmark,Basketball,2.02
Kelly Davis,South Korea,Badminton,1.95
Mrs. Cynthia Martin DVM,South Korea,Basketball,2.28
John Curtis,Denmark,Badminton,1.88
Danielle Mayer MD,USA,Archery,1.68
Sarah Swanson,USA,Archery,1.74
Kristy Walters,USA,Basketball,1.87
Angel Brandt,USA,Basketball,2.08
Ashley Johnston,Denmark,Archery,1.81
Joseph Knight,USA,Archery,1.76
Leslie Miller,NZ,Basketball,2.07
William Cooper,USA,Basketball,2.1
Albert Schmitt,USA,Badminton,1.94
Andrea Hicks,USA,Basketball,2.07
Susan Mueller,USA,Basketball,1.76
Michael Martin,USA,Badminton,1.85
Virginia Johnson,Denmark,Basketball,1.91
Joshua Carlson,USA,Badminton,1.61
John Brown,USA,Badminton,2.06
Timothy Sullivan,USA,Badminton,1.78
Steven Phillips Jr.,USA,Badminton,1.93
Brian Campbell,USA,Basketball,2.01
James Martin,USA,Badminton,1.92
Jason Bullock,South Korea,Archery,1.72
Kenneth Lopez,Denmark,Badminton,1.7
Marie Ross,USA,Archery,1.79
Luke Lawrence,South Korea,Badminton,1.62
Rebecca Riley,USA,Badminton,2.16
Mariah Dominguez,South Korea,Badminton,2.01
Paul Avery,USA,Badminton,2.07
Michelle Cole,USA,Basketball,1.96
Alexandra Guzman,USA,Badminton,1.85
John Harris,Denmark,Basketball,1.87
Daniel Kelly,USA,Basketball,1.88
Jackson Gonzalez,USA,Badminton,1.69
Theresa Larson,USA,Basketball,1.94
Kim Fuller,USA,Archery,1.75
Thomas Odonnell,USA,Archery,1.61
Crystal Vega,USA,Badminton,2.01
Justin Hobbs,USA,Basketball,1.92
Jennifer Alexander,USA,Basketball,2.0
Peter Jones,USA,Badminton,1.74
Ariel Rogers,NZ,Archery,1.6
Juan Anderson,South Korea,Badminton,2.02
Cheryl Diaz DVM,USA,Basketball,2.0
Tamara Fernandez,Denmark,Basketball,1.88
Eric Blair,USA,Badminton,1.97
John Lewis,USA,Basketball,2.1
Charles Brown,USA,Archery,1.77
William Miller,South Korea,Archery,1.6
Kimberly Holden,USA,Badminton,1.87
Margaret White,NZ,Archery,1.74
Erin Green,USA,Badminton,1.83
Alejandro Mcmahon Jr.,USA,Basketball,2.15
Benjamin Paul,NZ,Archery,1.8
Frank Clark,USA,Badminton,1.76
Ashley Quinn,USA,Badminton,2.02
Audrey Mcgrath,USA,Archery,1.66
Carol Flowers,South Korea,Badminton,1.83
Daniel Walker,South Korea,Basketball,2.22
Jessica Coleman,USA,Archery,1.8
Joseph Allison,USA,Archery,1.77
Brian Vaughn,South Korea,Archery,1.65
Summer Moyer,USA,Basketball,1.96
Jason Gibson,USA,Basketball,2.15
Mrs. Deborah Wang MD,USA,Basketball,2.0
Sandra Cohen,Denmark,Basketball,1.9
Henry Thornton,Denmark,Basketball,1.86
Lindsay Evans,NZ,Badminton,2.02
Erin Jenkins,USA,Archery,1.77
Lindsay Juarez,USA,Basketball,1.79
Julie Greer,USA,Archery,1.71
Joel Edwards,South Korea,Basketball,2.15
Sarah Brown,Denmark,Badminton,1.77
Maria Moore,USA,Archery,1.8
Richard Rodriguez,USA,Archery,1.72
Charles Carlson,USA,Archery,1.72
David West,South Korea,Basketball,2.0
Kayla Clark,USA,Basketball,2.15
Edward Harris,NZ,Archery,1.63
Carlos Washington,NZ,Basketball,1.94
Martin Baker,NZ,Archery,1.81
Susan Brown,NZ,Archery,1.73
Jennifer Anderson,South Korea,Archery,1.68
Deborah Lawson,USA,Badminton,1.64
Kristina Randall,USA,Basketball,1.9
Spencer Fowler,USA,Badminton,1.91
Brandon Allen,USA,Basketball,1.9
Robert Santiago,USA,Badminton,1.85
Terri Anderson,USA,Basketball,2.1
Robert Bowers,USA,Badminton,1.81
Jessica Vasquez,Denmark,Basketball,2.11
Melissa Miller,South Korea,Basketball,1.96
Matthew Fields,USA,Basketball,2.02
Kristin Odonnell,South Korea,Archery,1.67
Donald Warren,USA,Archery,1.77
Kristopher Pierce,USA,Basketball,2.04
Sean Johnson,USA,Basketball,2.11
Daniel Solomon,Denmark,Basketball,2.1
Melinda Bell,South Korea,Basketball,2.01
Michael Santos,USA,Archery,1.83
Denise Walker,South Korea,Archery,1.68
David Lee,USA,Archery,1.64
Richard Taylor,USA,Basketball,1.97
Carrie White,South Korea,Archery,1.82
Patricia Braun,South Korea,Badminton,1.98
Robin Sharp,USA,Archery,1.68
Jaime Gutierrez,USA,Archery,1.71
Cindy Thomas,USA,Basketball,2.0
Jerry Flowers,USA,Basketball,1.98
Ashley Porter,USA,Archery,1.71
George Garcia,South Korea,Basketball,2.05
Nicholas King,USA,Archery,1.54
Ryan Ford,South Korea,Basketball,1.96
Christopher Todd,USA,Basketball,2.19
Jonathan Murray,USA,Basketball,1.9
Thomas Callahan,NZ,Badminton,1.89
Elizabeth Butler MD,USA,Archery,1.63
Adrian Ward,USA,Badminton,1.92
Stephanie Lopez,USA,Basketball,2.19
Stanley Brown,USA,Badminton,1.86
Spencer Johnson,USA,Basketball,1.87
Nicholas Bishop,Denmark,Badminton,1.77
Brandi Welch,Denmark,Basketball,2.3
Samantha Moore,South Korea,Archery,1.59
Toni James,Denmark,Badminton,1.87
Samantha Colon,South Korea,Badminton,1.81
Nicholas Moore,USA,Archery,1.75
Kayla Salas,USA,Badminton,1.88
Eric Smith,USA,Basketball,2.0
Mary Santana,USA,Basketball,1.95
Kathleen Harding,USA,Basketball,2.06
Melissa Gonzalez,South Korea,Badminton,1.95
Sharon Wells,Denmark,Badminton,2.13
Christine Brown,USA,Basketball,1.87
Calvin Smith,USA,Basketball,2.14
Erik Moore DVM,USA,Archery,1.58
Sean Fisher,USA,Basketball,2.3
Mr. Anthony Thompson,USA,Archery,1.71
Robin Arnold,South Korea,Archery,1.61
Adam Navarro,USA,Badminton,2.12
Mary Love,South Korea,Basketball,2.09
Desiree Gardner,NZ,Badminton,1.95
Denise Smith,South Korea,Badminton,2.04
Sarah Davis,USA,Basketball,2.15
Vincent Turner,USA,Basketball,2.09
Christopher James,USA,Badminton,1.82
Sheila Hancock,USA,Archery,1.6
Kimberly Gordon,USA,Badminton,1.65
Michael Cole,South Korea,Archery,1.71
Stacy Hutchinson,Denmark,Badminton,2.02
Steven Lopez,South Korea,Badminton,1.88
Michelle Stark,Denmark,Basketball,1.84
Rachel Smith,Denmark,Basketball,2.09
Mr. Jonathan Burke,USA,Archery,1.5
Lisa Dillon,USA,Basketball,1.84
Timothy Tucker,USA,Basketball,2.17
Heather Martin,Denmark,Badminton,1.97
Jenny Hanson,NZ,Archery,1.83
Brianna Singh DDS,USA,Badminton,2.14
Michael Webb,South Korea,Badminton,1.96
Robert Harris,USA,Archery,1.82
Wayne Martin,USA,Archery,1.64
Linda Middleton,Denmark,Badminton,1.81
Calvin Mcclure,USA,Basketball,2.01
Shannon Bowers,USA,Archery,1.61
Amy Wilson,NZ,Basketball,2.22
Ryan Harvey,USA,Basketball,1.98
Mark Allison,USA,Basketball,2.11
Curtis Jones,South Korea,Badminton,1.65
Derrick Weaver,USA,Archery,1.5
Daniel Flores,South Korea,Badminton,1.7
Laura Allison,USA,Archery,1.64
Mary Martin,USA,Archery,1.64
Jerry Wolf,USA,Archery,1.54
Kimberly Phillips,USA,Basketball,1.79
Rose Hernandez,USA,Archery,1.61
Timothy Williamson,Denmark,Badminton,1.93
Matthew Zimmerman,USA,Basketball,2.09
Thomas Martinez,USA,Archery,1.53
Roger Bradford,NZ,Basketball,1.86
Martha Brown,USA,Archery,1.52
Randy Miller,USA,Archery,1.62
Richard Deleon,Denmark,Archery,1.61
Craig Smith,USA,Basketball,1.81
Kyle Carson,South Korea,Badminton,1.77
Dana Martinez,South Korea,Basketball,1.89
William Mills,USA,Basketball,2.15
Valerie Stuart,USA,Archery,1.65
Ryan Zavala,Denmark,Badminton,1.93
Taylor Webb,USA,Archery,1.55
Mrs. Nicole Burke,Denmark,Archery,1.77
Amanda Underwood,USA,Archery,1.78
Johnathan Davidson,Denmark,Basketball,1.94
Amanda Bell,NZ,Basketball,2.01
Nicole Walker,USA,Badminton,1.91
Nicholas Stafford,Denmark,Archery,1.54
Austin Bennett,South Korea,Badminton,1.69
Edward Hebert,USA,Archery,1.73
Renee Burke,USA,Badminton,1.7
Natalie Hoover,Denmark,Basketball,2.26
Doris Salinas,South Korea,Archery,1.74
Matthew Perkins,USA,Basketball,1.98
Cody Mitchell,USA,Badminton,2.13
Duane Harris,USA,Badminton,1.81
Renee Nelson,Denmark,Badminton,2.01
Michael Sanchez,Denmark,Archery,1.73
Monica Walker,South Korea,Badminton,1.88
