number,symbol,name,period,group,weight,vdw_radius,covalent_radius
67,Ho,Holmium,6,3,164.93,2.81,1.92
68,Er,Erbium,6,3,167.26,2.83,1.89
69,Tm,Thulium,6,3,168.93,2.79,1.9
70,Yb,Ytterbium,6,3,173.05,2.8,1.87
71,Lu,Lutetium,6,3,174.97,2.74,1.87
72,Hf,Hafnium,6,4,178.49,2.63,1.75
73,Ta,Tantalum,6,5,180.95,2.53,1.7
74,W,Tungsten,6,6,183.84,2.57,1.62
75,Re,Rhenium,6,7,186.21,2.49,1.51
76,Os,Osmium,6,8,190.23,2.48,1.44
77,Ir,Iridium,6,9,192.22,2.41,1.41
78,Pt,Platinum,6,10,195.08,2.29,1.36
79,Au,Gold,6,11,196.97,2.32,1.36
80,Hg,Mercury,6,12,200.59,2.45,1.32
81,Tl,Thallium,6,13,204.38,2.47,1.45
82,Pb,Lead,6,14,207.2,2.6,1.46
83,Bi,Bismuth,6,15,208.98,2.54,1.48
84,Po,Polonium,6,16,,,1.4
85,At,Astatine,6,17,,,1.5
86,Rn,Radon,6,18,,,1.5
87,Fr,Francium,7,1,,,2.6
88,Ra,Radium,7,2,,,2.21
89,Ac,Actinium,7,3,,2.8,2.15
90,Th,Thorium,7,3,232.04,2.93,2.06
91,Pa,Protactinium,7,3,231.04,2.88,2
92,U,Uranium,7,3,238.03,2.71,1.96
93,Np,Neptunium,7,3,,2.82,1.9
94,Pu,Plutonium,7,3,,2.81,1.87
95,Am,Americium,7,3,,2.83,1.8
96,Cm,Curium,7,3,,3.05,1.69
97,Bk,Berkelium,7,3,,3.4,
98,Cf,Californium,7,3,,3.05,
99,Es,Einsteinium,7,3,,2.7,
100,Fm,Fermium,7,3,,,
101,Md,Mendelevium,7,3,,,
102,No,Nobelium,7,3,,,
103,Lr,Lawrencium,7,3,,,
104,Rf,Rutherfordium,7,4,,,
105,Db,Dubnium,7,5,,,
106,Sg,Seaborgium,7,6,,,
107,Bh,Bohrium,7,7,,,
108,Hs,Hassium,7,8,,,
109,Mt,Meitnerium,7,9,,,
110,Ds,Darmstadtium,7,10,,,
111,Rg,Roentgenium,7,11,,,
112,Cn,Copernicium,7,12,,,
113,Nh,Nihonium,7,13,,,
114,Fl,Flerovium,7,14,,,
115,Mc,Moscovium,7,15,,,
116,Lv,Livermorium,7,16,,,
117,Ts,Tennessine,7,17,,,
118,Og,Oganesson,7,18,,,
