GeneSet	BroadCelltypePathway	Lineage	GeneSet_index	Concept_index	Description	Genes	Reference	n_genes
Bcell_l_Danaher17	Bcell_general	Lymphoid_lineage_Bcell	0	0	B cell; according to Danaher et al. Journal for ImmunoTherapy of Cancer 2017	BLK:CD19:MS4A1:TNFRSF17:FCRL2:FAM30A:PNOC:SPIB:TCL1A	PMID: 28239471	9
Bcell_sc	Bcell_general	Lymphoid_lineage_Bcell	1	0	B cell; data-derived v9	CD19:MS4A1:TNFRSF13C:VPREB3:PAX5:CR2	PMID: 34761219	6
MemBcell_sc	Memory_Bcell	Lymphoid_lineage_Bcell	2	1	Memory B cell; data-derived v8	TNFRSF13B:AIM2:IGHG1:IGHG2:CLECL1:IGHA1	PMID: 34761219	6
NaiBcell_sc	Naive_Bcell	Lymphoid_lineage_Bcell	3	2	Naive B cell; data-derived v8	IGHD:IGHM:CD72:TCL1A:FCER2:BTLA:FCRL1	PMID: 34761219	7
Plasma_sc	Plasma_cell	Lymphoid_lineage_Bcell	4	3	Plasma cell; data-derived v9	JSRP1:DERL3:FCRL2:FCRL5:IGLL5:TNFRSF17	PMID: 34761219	6
CD4Tcell_Combes22	CD4_Tcell	Lymphoid_lineage_T/NKcell	5	4	CD4-positive T cell; derived from FACS-sorted tumor bulk RNAseq; Combes et al. Cell 2022	BACH2:TRABD2A:IL7R:HDAC4:NR3C2:ADD3:PABPC1:PABPC3:MFHAS1:DSC1:SELL:SESN1	PMID: 34963056	12
CD4Tcell_IL2_I_Kaptein2022	CD4_Tcell	Lymphoid_lineage_T/NKcell	6	4	Genes characteristic for CD4 T cell / IL-2; low expression associated with resistance to neoadjuvant CTLA4+PD1 blockade; Kaptein et al. Sci Trans Med 2022	IL2:CD4:ICOS:EOMES:IL21R:IL2RA:IL2RB:IL2RG:CD40LG:CD48	PMID: 35476594	10
CD4Tcell_sc	CD4_Tcell	Lymphoid_lineage_T/NKcell	7	4	CD4-positive, alpha-beta T cell; data-derived v9	CD4:TRAT1:CD40LG:LEF1:TNFRSF4	PMID: 34761219	5
Th17CD4Tcell_sc	CD4_Tcell	Lymphoid_lineage_T/NKcell	8	4	T-helper 17 cell; data-derived v9	IL17A:IL17RE:RORC:IL23R	PMID: 34761219	4
CD8Tcell_sc	CD8_Tcell	Lymphoid_lineage_T/NKcell	9	5	CD8Tcell_sc (Average expression of CD8A + CD8B)	CD8A:CD8B	PMID: 27301722;PMID: 30127393; PMID: 34761219	2
BadCD8Tcell_l_SadeFeldman18	CD8_Tcell	Lymphoid_lineage_T/NKcell	10	5	TIL CD8-positive T cells associated with resistance to CIT, termed bad T cells; signature by Sade-Feldman et al. 2018	CCL3:CD38:CTLA4:ENTPD1:EPSTI1:FABP5:HAVCR2:NDUFB3:PDCD1:PRDX3:SIRPG:SNAP47:SNRPD1:UBE2F:WARS1:CXCL13:AFAP1L2:TNFRSF9:MYO7A:GOLIM4	PMID: 30388456	20
CD8Tcell_Combes22	CD8_Tcell	Lymphoid_lineage_T/NKcell	11	5	CD8-positive T cell; derived from FACS-sorted tumor bulk RNAseq; Combes et al. Cell 2022	FASLG:CD8A:SETBP1:CTSW:APOBEC3C:APOBEC3G:BTNL8:HLA-DPB1:ULBP3:RAD51:WNT9A:HLA-DMA:CERS5:CD8B:NKG7:FAM156A:ZNF696:MCM5:DPF3:TTC24:YARS1:EBP:TRPS1:GZMH:VCAM1:LAG3:CRIM1:NAA40:GRIK4:PSMB9:HLA-DMB:SERP2:HOXB4:CASP7:TMCC2:ARPC5L:MCTP2:LYST	PMID: 34963056	38
DualExpandedTcell_l_Wu20	CD8_Tcell	Lymphoid_lineage_T/NKcell	12	5	Dual-expanded T cells (CD8+, correlating with R to CIT); signature accoding to Wu et al. 2020 Supplementary Table 5	CCL5:NKG7:CD8A:GZMH:CD8B:HCST:CST7:KLRD1:GZMA:CTSW:PRF1:GZMB:GZMM:KLRK1:HLA-C:KLRC4:AOAH:GNLY:CCL4:MATK:CCL4L1:ZNF683:ABI3:KLRC2	PMID: 32103181	24
GoodCD8Tcell_l_SadeFeldman18	CD8_Tcell	Lymphoid_lineage_T/NKcell	13	5	TIL CD8-positive T cells associated with R to CIT, termed good T cells; signature by Sade-Feldman et al. 2018	IL7R:PLAC8:SELL:ADD3:TNFAIP8:TCF7	PMID: 30388456	6
ResourceCD8Tcell_sc	CD8_Tcell	Lymphoid_lineage_T/NKcell	14	5	CD8-positive, alpha-beta resource T cell; data-derived v9	S1PR5:KLRG1:SLAMF6:CXCR3:S1PR1:ITGB7:CD8A:IL7R:TCF7:PDCD1	PMID: 34761219	10
CMCD4Tcell_sc	Memory_Tcell	Lymphoid_lineage_T/NKcell	15	6	Central memory CD4-positive, alpha-beta T cell; data-derived v9	PKIA:TNFRSF4:AP3M2:AQP3:STING1:SERINC5:CD40LG	PMID: 34761219	7
MemTcell_sc	Memory_Tcell	Lymphoid_lineage_T/NKcell	16	6	Memory T cell signature; use with case as unspecific; data-derived v8	GPR171:PKIA:AP3M2:SERINC5:PHACTR2:CD84:GZMK:IL7R	PMID: 34761219	8
NaiTcell_l_Li19	Naive_Tcell	Lymphoid_lineage_T/NKcell	17	7	Naive T cell markers according to Li et al. Cell 2019	CCR7:IL7R:TCF7	PMID: 30595452	3
NaiTcell_sc	Naive_Tcell	Lymphoid_lineage_T/NKcell	18	7	Naive T cell; data-derived v9	TCF7:LEF1:NELL2:CAMK4:MAL:TRABD2A	PMID: 34761219	6
Tcell_markers	Tcell_general	Lymphoid_lineage_T/NKcell	19	8	T cell marker genes	MMP2:SERPINE1:CXCR4:CTLA4:CXCL3	PMID: 38049463	5
Tcell_Combes22	Tcell_general	Lymphoid_lineage_T/NKcell	20	8	Alpha beta T cells; derived from FACS-sorted tumor bulk RNAseq; Combes et al. Cell 2022	CD40LG:TBX21:SH2D1A:PYHIN1:ZNF831:CD6:THEMIS:UBASH3A:TRAT1:EOMES:GRAP2:ZAP70:SIRPG:ICOS:FASLG:CD8A:CD8B:ITK:GZMA:KLRK1:GZMH:GZMK:CD3D:CD3E:CD3G	PMID: 34963056	25
Tcell_IL7Rmax_sc	Tcell_general	Lymphoid_lineage_T/NKcell	21	8	IL7R-max T cell; same signature as CD4/CD8 IL7R-max T cell, possibly T-helper 17 cell; data-derived v8	CXCR6:SLC4A10:IL7R:IL18RAP:LGALS3:ZBTB16:CXXC5:NCR3:CEBPD:SLC4A10:CCR2:ADAM12:KLRB1:GZMK:PHACTR2	PMID: 34761219	15
Tcell_l_Danaher17	Tcell_general	Lymphoid_lineage_T/NKcell	22	8	T cells; according to Danaher et al. Journal for ImmunoTherapy of Cancer 2017	CD3D:CD3E:CD3G:CD6:SH2D1A:TRAT1	PMID: 28239471	6
CytotoxSig_Davoli	Cytotoxic_Tcell	Lymphoid_lineage_T/NKcell	23	9	Davoli cytotoxic immune signature (Averaging the expression levels of cytotoxic immune signature genes)	CD247:CD2:CD3E:GZMH:NKG7:PRF1:GZMK	PMID: 28104840	7
CytotoxTcell_Jiang	Cytotoxic_Tcell	Lymphoid_lineage_T/NKcell	24	9	Cytotoxic T lymphocytes markers (CTLs, averaging the expression levels of signature genes)	CD8A:CD8B:GZMA:GZMB:PRF1	PMID: 30127393	5
CytoxAct_Rooney	Cytotoxic_Tcell	Lymphoid_lineage_T/NKcell	25	9	Rooney immune cytolytic activity (Averaging the expression levels of granzyme A (GZMA) and perforin (PRF1)	GZMA:PRF1	PMID: 25594174	2
Cytotoxic_l_Danaher17	Cytotoxic_Tcell	Lymphoid_lineage_T/NKcell	26	9	Cytotoxic cells; according to Danaher et al. Journal for ImmunoTherapy of Cancer 2017	CTSW:GNLY:GZMA:GZMB:GZMH:KLRB1:KLRD1:KLRK1:PRF1:NKG7	PMID: 28239471	10
CytotoxTcell_sc	Cytotoxic_Tcell	Lymphoid_lineage_T/NKcell	27	9	Cytotoxic alpha-beta CD4 or CD8 T cell; data-derived v9	TRGC2:GZMH:KLRD1:FGFBP2:GZMB:PRF1:SAMD3:MATK:GNLY:NKG7:GZMA	PMID: 34761219	11
CytoxTcell_l_Li19	Cytotoxic_Tcell	Lymphoid_lineage_T/NKcell	28	9	Cytotoxic T effector T cell markers according to Li et al. Cell 2019	GZMH:GNLY:FGFBP2:CX3CR1:KLF2:TBX21	PMID: 30595452	6
ExhTcell_Jiang	Exhausted_Tcell	Lymphoid_lineage_T/NKcell	29	10	T-cell exhaustion Pos (Texh, averaging the expression levels of signature genes)	HSPA1B:HSPA1A:NR4A2:RGS1:TNFAIP3:CAMK2N1:DUSP1:NR4A3:IFIT3:IFIT1B:FOSB:CCL5:SAMD3:CCL3L3:MACC1:VPS37B:TF:DSEL:SPATA20:ADSSL1:DHX58:SPP1:TRIM15:DUSP26:ABI3:SFN:C1QC:RTP4:JUN:BCKDHB:CCL4:POU6F1:CYSLTR2:SLC14A1:RGS16:CUEDC1:DEDD2:CPEB1:CTSS:TMEM88:FAM196B:SKI:BTG1:SYCP2L:RGS2:ABCB1:ADRB2:CD69:RNF166:TNN	PMID: 30127393	50
