Source,Category,LogMessage,LogMeaning
Console,Reboot,Reboot,Keyword Check
Console,Reboot,reboot,Keyword Check
Swlog,Reboot-Critical,syslogd started: BusyBox,This is the first log that appears in the console during switch bootup
Console,Reboot-Critical,Chassis Supervision: CMM has reached the ready state,This log indicates that the switch has booted successfully and should begin passing traffic
Console,Reboot-Hardware,Power Supply % Up,A Power Supply is online. It is common to see Power Supply events during a bootup
Console,Reboot-Hardware,Power Supply % inserted,A Power Supply has been connected. It is common to see Power Supply events during a bootup
Console,Reboot-Hardware-Critical,Power Supply % Down,A Power Supply has gone offline.
Console,Reboot,bootMgrRebootCMM:,This log is from the process responsible for rebooting the CMM. This log indicates a software-initiated reboot rather than one from a power event
Swlog,Connectivity,logs since its last successful log,The switch was unable to send logs to its configured log server. This indicates a connectivity issue between the switch and the log server
Swlog,Health,falling below,The switch has recovered from a high CPU status
Swlog,SPB,Lost L1 adjacency ,An SPB Adjcency went down
Swlog,Connectivity,Root port change detected,"The Spanning Tree root bridge for this VLAN has changed. If you see several of these logs, that could indicate a loop on the network"
Swlog,Health,Kernel panic,The switch has an issue with the Kernel. Please gather Console Output logs by connecting a console cable to the switch
Swlog,Reboot,Last reboot due to,This indicates why the switch last rebooted
Console,VC,VC Takeover,A VC Topology change is taking place
Console,Interface,operationally up,An interface has come up. The interface is clearly listed in the log
Console,Interface,operationally down,An interface has gone down. The interface is clearly listed in the log
swlog,Upgrades,Booting up with,Displays the directory and image to be used in the next boot
swlog,"Health,Critical",Buffer list is empty,Out of Memory
swlog,Health,rising above,The switch is entering a high CPU status
Console,Reboot-Health,PowerSupply status changed,A power event has occurred on one of the power supplies
swlog,Reboot-Health,ps % change,A power event has occurred on one of the power supplies
swlog,General,CLI log,A command was inputted into the switch by a user
swlog,Interface-MACLearning,"Unknown VP value, flush per VP ignore",A MAC address is being flushed from the MAC table as the result of an interface change
swlog,Unused,repeated % times,TrapAbsorptionTrap
swlog,Interface-VC,"LINKSTS gport %, state 1",An interface on another switch in the VC has come up. gport is the hex for the interface
swlog,Interface-VC,"LINKSTS gport %, state 0",An interface on another switch in the VC has gone down. gport is the hex for the interface
swlog,Unused,flashMgrValidateImage_exec,All non-master switches in a VC run a flash validation every 20 minutes
swlog,Interface,niEsmGetEvent:RX CMM_ESMDRV_CMD_CONFIG_MSGID,"A link has come up, link not provided in this log"
swlog,Unused,flashMgrThreadProcessMsg,All non-master switches in a VC run a flash validation every 20 minutes
swlog,Interface,esmSendConfMsg: chassis % zslot % zport % Txed conf msgId:%,"A link has come up. Chassis is the chassis number, zslot is the slot-1, zport is the port-1."
swlog,Interface,CMM_ESM_LINK_STATUS_CHG,"A link has changed status. This log provides the chassis and slot, but not the interface nor its status"
swlog,Unused,--> [TRAP],The switch is sending a trap
swlog,Interface-MACLearning,bcmDel,A MAC address is being flushed from the MAC table as the result of an interface change. Nathan does not know what gport means
swlog,Interface-VC,niEsmSendLinkStatusChgMsg,"A link has come up and is being communicated to the rest of the VC, link not provided in this log"
swlog,Interface,eniApplyConfig,Configuration is being applied to an interface. Typically part of an interface coming online. Zport is the port-1. Nathan does not know what cmd means
swlog,Interface-STP,stpnimsg_processMsgFromPM: PM_LINK_STATUS_MSGID gPort=% linkStatus=1,An interface has come up in STP. gport is the hex for the port
swlog,Interface-STP,stpnimsg_processMsgFromPM: PM_LINK_STATUS_MSGID gPort=% linkStatus=0,An interface has gone down in STP. gport is the hex for the port
swlog,Interface,pmnHALLinkStatusCallback% LINKSTS % DOWN,"An interface has gone down, the interface is clearly listed"
swlog,Interface,pmnHALLinkStatusCallback% LINKSTS % UP,"An interface has come up, the interface is clearly listed"
swlog,Interface,esmSetRateLimit,Configuration is being applied to an interface. Typically part of an interface coming online. The interface is not listed
swlog,unknown,flow_index vrf % vlan % group % host 0.0.0.0 dest 0.0.0.0 orig 0.0.0.0 ipmc:% (failed),Unable to learn about this log. Cases imply it may be a sign of corruption
swlog,VC-Critical,bootMgrVCMTopoDataEventHandler:slot split status event,A VC Split has occurred.
swlog,VC,bootMgrVCMTopoDataEventHandler: neighbor % valid 1,"A switch has found its VC neighbor. Neighbor 0 is the 1st VFL, Neighbor 2 is the 2nd VFL. Chassis ID not present in this log"
swlog,VC-Interface-Unclear,lpRxProcessReport %: Report Command Successful Decode 0,This appears to be related to VFL interface changes. Nathan does not know
swlog,VC,bootMgrVCMTopoDataEventHandler: neighbor % chassis_key id %,"A switch has found its VC neighbor. Neighbor 0 is the 1st VFL, Neighbor 2 is the 2nd VFL. Chassis ID is listed in this log"
swlog,VC-Unclear,Recieved STATEINFO CHG UPDATE from Port Manager,Appears to be associated with VC Takeovers
swlog,Connectivity-Licensing,No response from server due to no internet connection.,The switch is unable to connect to the NaaS servers
swlog,VC-Reboot,bootMgrRebootRecovery : recovering 0,The VC is reforming after one or more of its members have rebooted.
swlog,General-Security,Login by ,"A user has logged in. The username, source IP and method of login are listed"
swlog,Unused-Unclear,myChassisID,Appears to be associated with the VC bootup process
swlog,Unused-Unclear,Access isValid,Appears to be associated with the VC bootup process
swlog,Critical,TCAM_RET_NOT_FOUND,TCAM errors may be a sign of a hardware failure or a software bug. It is recommended to open a case with support
swlog,Hardware-Interface,CSLIB_EVENT_SFP_INSERTED,An SFP has been connected to the switch. The interface is not listed
