* De conditionele kans op overschrijding van windsnelheid u gegeven de windrichting r.                                                                                
* voor 12-uursmaxima te Schiphol. 
*
* Onderstaande tabel is afkomstig uit bijlage G van:               
* Wind-waterstandstatistiek Hoek van Holland. C.P.M. Geerse (RIZA), M.T. Duits (HKV),
* H.J. Kalk (HKV), I.B.M. Lammers, (HKV). RIZA/HKV rapport, Lelystad, juli 2002.
*
* De tabel is gebaseerd op overschrijdingskansen op basis van KNMI data voor lage 
* windsnelheden en Rijkoort Weibull voor hoge windsnelheden 
*  
* De overgang tussen KNMI-uur data bij lage windsnelheden en Rijkoort Weibull verdelingen
* voor hoge windsnelheden is aangebracht bij een terugkeertijd van ongeveer eens in de 10 
* jaar en is in Excel gedaan. De overgangen zijn geleidelijk!
*
*u     NNO          NO           ONO          O            OZO          ZO           ZZO          Z            ZZW          ZW           WZW          W            WNW          NW           NNW          N
0      1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00     1.00E+00
1      9.96E-01     9.97E-01     1.00E+00     1.00E+00     9.99E-01     9.99E-01     9.99E-01     1.00E+00     1.00E+00     1.00E+00     9.98E-01     9.98E-01     1.00E+00     9.99E-01     9.97E-01     9.66E-01
2      9.79E-01     9.85E-01     9.95E-01     9.87E-01     9.84E-01     9.85E-01     9.89E-01     9.87E-01     9.94E-01     9.95E-01     9.90E-01     9.93E-01     9.92E-01     9.88E-01     9.81E-01     9.49E-01
3      9.16E-01     9.49E-01     9.65E-01     9.30E-01     9.04E-01     9.34E-01     9.44E-01     9.47E-01     9.71E-01     9.73E-01     9.66E-01     9.71E-01     9.56E-01     9.53E-01     9.31E-01     8.56E-01
4      7.78E-01     8.71E-01     8.88E-01     8.17E-01     7.53E-01     7.79E-01     8.35E-01     8.58E-01     9.24E-01     9.22E-01     9.17E-01     9.26E-01     9.06E-01     8.80E-01     8.27E-01     6.94E-01
5      6.33E-01     7.58E-01     7.68E-01     6.60E-01     5.56E-01     5.91E-01     6.65E-01     7.17E-01     8.21E-01     8.42E-01     8.64E-01     8.69E-01     8.28E-01     7.86E-01     7.03E-01     5.54E-01
6      4.67E-01     6.20E-01     6.41E-01     5.14E-01     3.82E-01     4.15E-01     5.14E-01     5.79E-01     7.16E-01     7.59E-01     7.92E-01     7.85E-01     7.55E-01     6.98E-01     5.99E-01     4.21E-01
7      3.37E-01     4.78E-01     5.12E-01     3.60E-01     2.29E-01     2.69E-01     3.64E-01     4.20E-01     6.02E-01     6.63E-01     7.02E-01     7.04E-01     6.67E-01     5.79E-01     4.78E-01     3.13E-01
8      2.17E-01     3.45E-01     3.81E-01     2.25E-01     1.15E-01     1.50E-01     2.40E-01     2.91E-01     4.82E-01     5.79E-01     6.21E-01     6.01E-01     5.60E-01     4.70E-01     3.59E-01     2.15E-01
9      1.50E-01     2.35E-01     2.72E-01     1.29E-01     5.35E-02     8.07E-02     1.43E-01     2.11E-01     3.73E-01     4.87E-01     5.27E-01     4.98E-01     4.62E-01     3.76E-01     2.36E-01     1.42E-01
10     1.04E-01     1.52E-01     1.79E-01     7.71E-02     1.96E-02     3.89E-02     7.65E-02     1.38E-01     2.87E-01     4.10E-01     4.50E-01     4.16E-01     3.64E-01     2.90E-01     1.71E-01     1.01E-01
11     5.95E-02     8.06E-02     9.85E-02     4.72E-02     1.10E-02     1.65E-02     3.91E-02     9.12E-02     1.96E-01     3.28E-01     3.55E-01     3.37E-01     2.87E-01     2.17E-01     1.08E-01     7.49E-02
12     3.17E-02     4.47E-02     4.81E-02     2.52E-02     8.70E-03     1.04E-02     1.86E-02     5.81E-02     1.33E-01     2.61E-01     2.86E-01     2.70E-01     2.17E-01     1.52E-01     7.41E-02     5.12E-02
13     1.69E-02     1.80E-02     1.35E-02     1.09E-02     6.00E-03     6.92E-03     1.30E-02     3.28E-02     9.49E-02     1.84E-01     2.12E-01     1.99E-01     1.43E-01     1.04E-01     4.57E-02     2.88E-02
14     7.42E-03     7.44E-03     7.59E-03     5.80E-03     4.50E-03     5.40E-03     6.50E-03     1.99E-02     5.91E-02     1.36E-01     1.47E-01     1.33E-01     9.35E-02     5.99E-02     3.41E-02     9.58E-03
15     3.71E-03     3.77E-03     3.91E-03     2.84E-03     2.20E-03     2.45E-03     4.39E-03     1.22E-02     3.96E-02     1.02E-01     9.93E-02     8.59E-02     6.19E-02     4.61E-02     2.23E-02     5.29E-03
16     1.74E-03     1.77E-03     1.86E-03     1.28E-03     8.98E-04     9.97E-04     2.24E-03     6.96E-03     2.37E-02     6.51E-02     6.73E-02     6.01E-02     4.33E-02     2.86E-02     1.26E-02     2.80E-03
17     7.77E-04     7.71E-04     8.18E-04     5.26E-04     3.32E-04     3.69E-04     1.09E-03     3.71E-03     1.43E-02     4.40E-02     4.74E-02     4.03E-02     3.41E-02     1.72E-02     7.32E-03     1.43E-03
18     3.30E-04     3.11E-04     3.32E-04     1.98E-04     1.12E-04     1.26E-04     5.03E-04     1.86E-03     8.18E-03     2.80E-02     2.83E-02     2.47E-02     2.05E-02     9.20E-03     4.47E-03     7.03E-04
19     1.35E-04     1.17E-04     1.24E-04     6.81E-05     3.45E-05     3.95E-05     2.23E-04     8.78E-04     5.18E-03     1.80E-02     1.71E-02     1.44E-02     1.19E-02     6.17E-03     2.62E-03     3.35E-04
20     5.36E-05     4.08E-05     4.32E-05     2.15E-05     9.69E-06     1.13E-05     9.43E-05     3.92E-04     3.16E-03     1.00E-02     1.00E-02     1.00E-02     6.74E-03     4.07E-03     1.50E-03     1.54E-04
21     2.06E-05     1.33E-05     1.39E-05     6.20E-06     2.50E-06     2.99E-06     3.80E-05     1.64E-04     1.86E-03     7.20E-03     4.57E-03     6.18E-03     4.56E-03     2.64E-03     8.28E-04     6.82E-05
22     7.73E-06     4.03E-06     4.16E-06     1.64E-06     5.95E-07     7.23E-07     1.46E-05     6.48E-05     1.06E-03     3.82E-03     2.95E-03     4.13E-03     3.02E-03     1.69E-03     4.50E-04     2.90E-05
23     2.83E-06     1.13E-06     1.15E-06     4.01E-07     1.31E-07     1.61E-07     5.32E-06     2.41E-05     5.84E-04     2.74E-03     1.85E-03     2.70E-03     1.97E-03     1.07E-03     2.38E-04     1.18E-05
24     1.01E-06     2.97E-07     2.96E-07     9.03E-08     2.70E-08     3.31E-08     1.83E-06     8.41E-06     3.13E-04     6.89E-04     1.14E-03     1.73E-03     1.26E-03     6.68E-04     1.24E-04     4.63E-06
25     3.54E-07     7.25E-08     7.05E-08     1.88E-08     5.21E-09     6.24E-09     5.96E-07     2.76E-06     1.62E-04     3.98E-04     6.93E-04     1.10E-03     7.96E-04     4.13E-04     6.34E-05     1.74E-06
26     1.21E-07     1.63E-08     1.55E-08     3.62E-09     9.28E-10     1.07E-09     1.82E-07     8.49E-07     8.18E-05     2.26E-04     4.12E-04     6.82E-04     4.94E-04     2.52E-04     3.16E-05     6.25E-07
27     3.99E-08     3.43E-09     3.19E-09     6.52E-10     1.60E-10     1.65E-10     5.22E-08     2.44E-07     4.00E-05     1.27E-04     2.41E-04     4.20E-04     3.01E-04     1.51E-04     1.55E-05     2.15E-07
28     1.28E-08     6.71E-10     6.13E-10     1.22E-10     2.83E-11     2.43E-11     1.40E-08     6.55E-08     1.91E-05     6.95E-05     1.39E-04     2.55E-04     1.81E-04     8.93E-05     7.39E-06     7.08E-08
29     3.97E-09     1.20E-10     1.04E-10     0.00E+00     0.00E+00     0.00E+00     3.52E-09     1.65E-08     8.81E-06     3.76E-05     7.88E-05     1.53E-04     1.07E-04     5.21E-05     3.45E-06     2.23E-08
30     1.19E-09     1.05E-11     3.84E-12     0.00E+00     0.00E+00     0.00E+00     8.26E-10     3.87E-09     3.96E-06     2.01E-05     4.41E-05     9.11E-05     6.27E-05     2.99E-05     1.57E-06     6.73E-09
31     3.37E-10     7.82E-13     0.00E+00     0.00E+00     0.00E+00     0.00E+00     1.80E-10     8.46E-10     1.72E-06     1.05E-05     2.42E-05     5.32E-05     3.60E-05     1.69E-05     6.97E-07     1.93E-09
32     9.56E-11     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     3.55E-11     1.66E-10     7.27E-07     5.41E-06     1.31E-05     3.10E-05     2.03E-05     9.36E-06     3.02E-07     5.51E-10
33     1.17E-11     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     4.41E-12     2.07E-11     2.99E-07     2.76E-06     7.02E-06     1.77E-05     1.13E-05     5.12E-06     1.27E-07     6.73E-11
