*
* Overschrijdingskansen potentiele windsnelheid Schiphol_met_Volkerfactor. Zonder statistische onzekerheid.
* WTI2017: 12-uursmaxima, gegeven windrichting
*
* Door: K.A. Wojciechowska van HKV lijn in water
* Project: PR3280.10
*
* u         NNO             NO              ONO             O               OZO             ZO              ZZO             Z               ZZW             ZW              WZW             W               WNW             NW              NNW             N
 24.50      7.624e-006      2.404e-006      2.064e-006      4.900e-007      1.168e-007      7.413e-008      1.235e-006      5.041e-006      1.314e-004      1.790e-004      2.883e-004      2.615e-004      2.157e-004      1.473e-004      6.171e-005      1.630e-005 
 25.00      5.597e-006      1.660e-006      1.435e-006      3.335e-007      7.838e-008      4.682e-008      8.564e-007      3.518e-006      1.008e-004      1.357e-004      2.187e-004      2.056e-004      1.677e-004      1.137e-004      4.731e-005      1.215e-005 
 25.50      4.115e-006      1.147e-006      9.983e-007      2.271e-007      5.265e-008      2.958e-008      5.943e-007      2.455e-006      7.734e-005      1.029e-004      1.659e-004      1.617e-004      1.304e-004      8.786e-005      3.628e-005      9.051e-006 
 26.00      3.029e-006      7.924e-007      6.944e-007      1.546e-007      3.540e-008      1.868e-008      4.126e-007      1.713e-006      5.934e-005      7.799e-005      1.259e-004      1.271e-004      1.014e-004      6.786e-005      2.782e-005      6.745e-006 
 26.50      2.232e-006      5.476e-007      4.830e-007      1.052e-007      2.382e-008      1.180e-008      2.866e-007      1.196e-006      4.553e-005      5.914e-005      9.560e-005      9.998e-005      7.889e-005      5.242e-005      2.133e-005      5.026e-006 
 27.00      1.647e-006      3.786e-007      3.360e-007      7.162e-008      1.604e-008      7.455e-009      1.992e-007      8.344e-007      3.494e-005      4.484e-005      7.257e-005      7.861e-005      6.136e-005      4.049e-005      1.636e-005      3.745e-006 
 27.50      1.216e-006      2.618e-007      2.337e-007      4.875e-008      1.081e-008      4.710e-009      1.385e-007      5.823e-007      2.681e-005      3.400e-005      5.511e-005      6.182e-005      4.773e-005      3.128e-005      1.254e-005      2.791e-006 
 28.00      8.988e-007      1.811e-007      1.626e-007      3.319e-008      7.286e-009      2.975e-009      9.628e-008      4.064e-007      2.057e-005      2.578e-005      4.185e-005      4.861e-005      3.712e-005      2.416e-005      9.619e-006      2.080e-006 
 28.50      6.649e-007      1.253e-007      1.131e-007      2.259e-008      4.916e-009      1.879e-009      6.698e-008      2.836e-007      1.579e-005      1.955e-005      3.180e-005      3.822e-005      2.888e-005      1.866e-005      7.376e-006      1.550e-006 
 29.00      4.922e-007      8.667e-008      7.866e-008      1.538e-008      3.319e-009      1.187e-009      4.661e-008      1.979e-007      1.212e-005      1.483e-005      2.416e-005      3.005e-005      2.247e-005      1.442e-005      5.657e-006      1.155e-006 
 29.50      3.646e-007      5.999e-008      5.472e-008      1.047e-008      2.242e-009      7.499e-010      3.244e-008      1.381e-007      9.298e-006      1.125e-005      1.836e-005      2.363e-005      1.748e-005      1.114e-005      4.338e-006      8.606e-007 
 30.00      2.703e-007      4.153e-008      3.806e-008      7.125e-009      1.515e-009      4.737e-010      2.259e-008      9.639e-008      7.135e-006      8.530e-006      1.395e-005      1.858e-005      1.360e-005      8.603e-006      3.327e-006      6.413e-007 
 30.50      2.004e-007      2.875e-008      2.648e-008      4.850e-009      1.024e-009      2.992e-010      1.573e-008      6.727e-008      5.476e-006      6.470e-006      1.061e-005      1.461e-005      1.058e-005      6.646e-006      2.552e-006      4.779e-007 
 31.00      1.487e-007      1.991e-008      1.842e-008      3.302e-009      6.930e-010      1.890e-010      1.095e-008      4.695e-008      4.202e-006      4.908e-006      8.069e-006      1.149e-005      8.235e-006      5.134e-006      1.957e-006      3.561e-007 
 31.50      1.104e-007      1.379e-008      1.281e-008      2.247e-009      4.690e-010      1.194e-010      7.631e-009      3.276e-008      3.225e-006      3.723e-006      6.138e-006      9.035e-006      6.408e-006      3.966e-006      1.501e-006      2.654e-007 
 32.00      8.198e-008      9.557e-009      8.914e-009      1.530e-009      3.176e-010      7.543e-011      5.317e-009      2.286e-008      2.475e-006      2.825e-006      4.670e-006      7.104e-006      4.987e-006      3.064e-006      1.151e-006      1.978e-007 
 32.50      6.090e-008      6.622e-009      6.201e-009      1.041e-009      2.151e-010      4.765e-011      3.705e-009      1.596e-008      1.900e-006      2.143e-006      3.554e-006      5.586e-006      3.881e-006      2.367e-006      8.831e-007      1.474e-007 
 33.00      4.525e-008      4.590e-009      4.314e-009      7.089e-010      1.457e-010      3.010e-011      2.582e-009      1.114e-008      1.458e-006      1.626e-006      2.705e-006      4.393e-006      3.021e-006      1.829e-006      6.774e-007      1.098e-007 
 33.50      3.364e-008      3.182e-009      3.001e-009      4.825e-010      9.878e-011      1.901e-011      1.800e-009      7.771e-009      1.119e-006      1.234e-006      2.060e-006      3.454e-006      2.351e-006      1.413e-006      5.196e-007      8.184e-008 
 34.00      2.501e-008      2.206e-009      2.088e-009      3.285e-010      6.697e-011      1.201e-011      1.255e-009      5.423e-009      8.588e-007      9.361e-007      1.569e-006      2.716e-006      1.830e-006      1.091e-006      3.986e-007      6.098e-008 
 34.50      1.860e-008      1.530e-009      1.453e-009      2.236e-010      4.542e-011      7.588e-012      8.748e-010      3.785e-009      6.591e-007      7.104e-007      1.196e-006      2.136e-006      1.425e-006      8.432e-007      3.057e-007      4.544e-008 
 35.00      1.384e-008      1.061e-009      1.011e-009      1.522e-010      3.081e-011      4.793e-012      6.099e-010      2.641e-009      5.059e-007      5.391e-007      9.110e-007      1.679e-006      1.109e-006      6.514e-007      2.345e-007      3.386e-008 
 35.50      1.029e-008      7.357e-010      7.032e-010      1.036e-010      2.091e-011      3.028e-012      4.253e-010      1.843e-009      3.883e-007      4.091e-007      6.946e-007      1.321e-006      8.637e-007      5.033e-007      1.799e-007      2.524e-008 
 36.00      7.660e-009      5.104e-010      4.892e-010      7.053e-011      1.419e-011      1.913e-012      2.966e-010      1.286e-009      2.980e-007      3.105e-007      5.296e-007      1.038e-006      6.724e-007      3.888e-007      1.380e-007      1.881e-008 
 36.50      5.701e-009      3.541e-010      3.404e-010      4.801e-011      9.632e-012      1.208e-012      2.068e-010      8.978e-010      2.287e-007      2.357e-007      4.040e-007      8.165e-007      5.236e-007      3.004e-007      1.059e-007      1.401e-008 
 37.00      4.243e-009      2.457e-010      2.368e-010      3.268e-011      6.540e-012      7.633e-013      1.443e-010      6.265e-010      1.755e-007      1.789e-007      3.082e-007      6.420e-007      4.077e-007      2.321e-007      8.121e-008      1.044e-008 
 37.50      3.159e-009      1.705e-010      1.648e-010      2.225e-011      4.441e-012      4.822e-013      1.006e-010      4.372e-010      1.347e-007      1.358e-007      2.353e-007      5.048e-007      3.175e-007      1.793e-007      6.230e-008      7.782e-009 
 38.00      2.352e-009      1.184e-010      1.146e-010      1.514e-011      3.017e-012      3.046e-013      7.019e-011      3.051e-010      1.034e-007      1.031e-007      1.796e-007      3.970e-007      2.473e-007      1.386e-007      4.780e-008      5.799e-009 
 38.50      1.751e-009      8.215e-011      7.976e-011      1.031e-011      2.049e-012      1.924e-013      4.896e-011      2.130e-010      7.937e-008      7.828e-008      1.372e-007      3.121e-007      1.926e-007      1.071e-007      3.667e-008      4.321e-009 
 39.00      1.304e-009      5.703e-011      5.549e-011      7.017e-012      1.392e-012      1.216e-013      3.415e-011      1.486e-010      6.092e-008      5.943e-008      1.048e-007      2.454e-007      1.500e-007      8.271e-008      2.813e-008      3.220e-009 
 39.50      9.710e-010      3.960e-011      3.861e-011      4.776e-012      9.461e-013      7.680e-014      2.383e-011      1.037e-010      4.676e-008      4.513e-008      8.011e-008      1.930e-007      1.169e-007      6.391e-008      2.158e-008      2.400e-009 
 40.00      7.231e-010      2.750e-011      2.687e-011      3.251e-012      6.430e-013      4.851e-014      1.662e-011      7.238e-011      3.589e-008      3.426e-008      6.123e-008      1.518e-007      9.103e-008      4.938e-008      1.656e-008      1.788e-009 
 40.50      5.386e-010      1.909e-011      1.869e-011      2.213e-012      4.370e-013      3.065e-014      1.160e-011      5.051e-011      2.754e-008      2.602e-008      4.684e-008      1.193e-007      7.091e-008      3.815e-008      1.270e-008      1.333e-009 
 41.00      4.012e-010      1.326e-011      1.301e-011      1.507e-012      2.971e-013      1.936e-014      8.091e-012      3.525e-011      2.114e-008      1.976e-008      3.583e-008      9.384e-008      5.525e-008      2.948e-008      9.747e-009      9.930e-010 
 41.50      2.988e-010      9.211e-012      9.050e-012      1.026e-012      2.020e-013      1.223e-014      5.645e-012      2.460e-011      1.623e-008      1.501e-008      2.743e-008      7.379e-008      4.305e-008      2.278e-008      7.478e-009      7.400e-010 
 42.00      2.226e-010      6.398e-012      6.297e-012      6.981e-013      1.373e-013      7.726e-015      3.939e-012      1.717e-011      1.245e-008      1.140e-008      2.099e-008      5.802e-008      3.354e-008      1.760e-008      5.737e-009      5.514e-010 
